#x cv
0.487008 0.487031
0.480119 0.480099
0.473314 0.473254
0.466595 0.466497
0.459961 0.459828
0.453419 0.453249
0.446962 0.446759
0.440586 0.440358
0.434292 0.434046
0.428081 0.427824
0.421955 0.421693
0.415902 0.415639
0.409938 0.40968
0.404069 0.403823
0.398296 0.398067
0.392617 0.392411
0.387032 0.386852
0.381521 0.381372
0.376112 0.375995
0.370803 0.370721
0.365589 0.365543
0.360468 0.360459
0.355434 0.355462
0.350485 0.35055
0.345621 0.34572
0.340838 0.340968
0.336131 0.336288
0.331484 0.331668
0.326896 0.327105
0.322391 0.322614
0.317959 0.318186
0.31359 0.313813
0.309273 0.309485
0.304999 0.305194
0.300763 0.300933
0.296554 0.296691
0.292362 0.292462
0.288183 0.288238
0.283993 0.284005
0.279783 0.279754
0.275543 0.275477
0.271272 0.271169
0.26695 0.266818
0.262567 0.262413
0.258114 0.257947
0.253595 0.25342
0.248992 0.248817
0.244295 0.244131
0.239501 0.239357
0.234615 0.234499
0.229622 0.229537
0.224518 0.224466
0.219306 0.219287
0.213986 0.214
0.20856 0.208602
0.203029 0.203093
0.197398 0.197479
0.191661 0.191754
0.185824 0.18592
0.179888 0.179984
0.173858 0.173946
0.167736 0.167811
0.161528 0.161585
0.155233 0.155273
0.148857 0.14888
0.14241 0.142416
0.135888 0.135882
0.129304 0.12929
0.122666 0.122648
0.115983 0.115963
0.109273 0.109256
0.102543 0.102526
0.0958154 0.0957993
0.0890988 0.0890838
0.0824168 0.0824044
0.0757938 0.0757832
0.0692582 0.0692479
0.0628404 0.06283
0.0565743 0.056563
0.050495 0.0504863
0.0446385 0.0446392
0.0390558 0.0390643
0.033782 0.0337954
0.0288845 0.0288903
0.0243865 0.0243748
0.0202865 0.0202658
0.016603 0.0165856
0.0133444 0.0133438
0.0105281 0.010541
0.00814193 0.00815871
0.00616472 0.00617141
0.00454421 0.00454463
0.00323873 0.0032363
0.00220998 0.00220638
0.00141619 0.00141443
0.000826408 0.000827725
0.00042053 0.000421431
0.000171242 0.000170866
4.43548e-05 4.439e-05
2.38668 2.38435
2.35644 2.35456
2.32649 2.32503
2.29684 2.29575
2.26748 2.26672
2.23841 2.23795
2.20963 2.20944
2.18114 2.18119
2.15291 2.15316
2.12498 2.1254
2.09734 2.09791
2.07 2.0707
2.04295 2.04376
2.01619 2.01708
1.98971 1.99067
1.96353 1.96454
1.93763 1.93867
1.912 1.91306
1.88663 1.88769
1.86152 1.86258
1.83667 1.83772
1.81208 1.8131
1.78775 1.78873
1.76366 1.7646
1.73982 1.74072
1.71625 1.71709
1.69293 1.69372
1.66987 1.6706
1.64706 1.64772
1.6245 1.62509
1.60219 1.60271
1.58012 1.58058
1.5583 1.55868
1.53672 1.53703
1.51537 1.51561
1.49426 1.49444
1.47339 1.47349
1.45275 1.45278
1.43233 1.4323
1.41215 1.41206
1.3922 1.39204
1.37247 1.37226
1.35297 1.35271
1.3337 1.33338
1.31465 1.31429
1.29582 1.29542
1.27721 1.27677
1.25882 1.25833
1.24063 1.24011
1.22265 1.2221
1.20488 1.20431
1.18731 1.18673
1.16995 1.16935
1.15279 1.15217
1.13584 1.13521
1.11908 1.11846
1.10253 1.10191
1.08617 1.08556
1.07001 1.06941
1.05404 1.05346
1.03826 1.0377
1.02268 1.02215
1.0073 1.00679
0.992098 0.991628
0.977089 0.976658
0.962269 0.961879
0.947636 0.947292
0.933187 0.932891
0.918918 0.918672
0.904829 0.904631
0.890918 0.89077
0.877182 0.877083
0.863622 0.863572
0.850233 0.85023
0.837012 0.837056
0.823965 0.824053
0.811086 0.811217
0.798374 0.798545
0.785827 0.786035
0.773444 0.773687
0.761227 0.761506
0.749169 0.74948
0.73727 0.737606
0.725526 0.725883
0.713937 0.714307
0.702502 0.702879
0.69122 0.691599
0.680088 0.680466
0.669106 0.669477
0.658271 0.65863
0.647581 0.647922
0.637035 0.637354
0.62663 0.626924
0.616369 0.616634
0.60625 0.606485
0.596268 0.596469
0.586422 0.586586
0.576709 0.576834
0.567131 0.567215
0.557685 0.557727
0.548378 0.548373
0.5392 0.539151
0.530149 0.53006
0.521225 0.521099
0.512428 0.512269
0.503758 0.50357
0.495215 0.494999
0.486799 0.48656
0.478511 0.478255
0.47035 0.470086
0.462317 0.46205
0.454411 0.454149
0.446622 0.446368
0.438962 0.438722
0.431437 0.431217
0.424047 0.42385
0.416788 0.416619
0.409659 0.409521
0.402643 0.402539
0.395761 0.395694
0.389012 0.388981
0.38239 0.382395
0.375893 0.375933
0.369509 0.369585
0.363239 0.363349
0.357088 0.357227
0.351048 0.351212
0.345113 0.345298
0.339272 0.339475
0.33352 0.333737
0.327866 0.328089
0.322304 0.322522
0.316822 0.317028
0.311412 0.3116
0.306066 0.306229
0.300775 0.300908
0.295529 0.295627
0.29032 0.290381
0.285144 0.285161
0.279982 0.279958
0.274825 0.274765
0.269666 0.269573
0.264506 0.264382
0.259323 0.259175
0.254106 0.253943
0.248849 0.248679
0.243556 0.243384
0.238212 0.238046
0.232807 0.232657
0.227341 0.227212
0.221817 0.221717
0.216227 0.216156
0.210567 0.210527
0.204841 0.204832
0.199049 0.19907
0.193193 0.193239
0.187274 0.18734
0.181297 0.181379
0.175259 0.175351
0.169164 0.16926
0.163017 0.163112
0.156821 0.156909
0.150579 0.150656
0.144301 0.144362
0.137983 0.138028
0.131633 0.131663
0.125261 0.125276
0.118869 0.118872
0.112471 0.112464
0.106073 0.106059
0.099685 0.0996663
0.0933255 0.0933039
0.0870023 0.0869785
0.0807383 0.0807128
0.0745446 0.0745187
0.0684437 0.068419
0.0624588 0.0624357
0.0566159 0.0565939
0.0509414 0.0509217
0.0454635 0.045447
0.0402133 0.0402025
0.0352187 0.0352172
0.0305208 0.0305255
0.0261441 0.0261509
0.0221232 0.0221255
0.0184679 0.0184609
0.015186 0.0151771
0.0122822 0.0122783
0.00975121 0.0097581
0.00759505 0.00760754
0.00579285 0.00580407
0.00431628 0.00431981
0.00312282 0.00312192
0.0021765 0.00217375
0.00144387 0.00144106
0.000892573 0.000891555
0.000497291 0.000497918
0.000237718 0.000237909
8.80371e-05 8.78619e-05
1.93441e-05 1.93642e-05
2.9714 2.96942
2.92991 2.92837
2.88889 2.88775
2.84835 2.84756
2.80826 2.80779
2.76863 2.76845
2.72945 2.72952
2.69073 2.69102
2.65245 2.65292
2.61462 2.61524
2.57722 2.57798
2.54027 2.54113
2.50374 2.50469
2.46764 2.46865
2.43196 2.43302
2.3967 2.3978
2.36186 2.36297
2.32743 2.32854
2.29341 2.2945
2.25979 2.26086
2.22656 2.22761
2.19373 2.19474
2.1613 2.16226
2.12925 2.13015
2.09759 2.09842
2.06631 2.06708
2.03541 2.03611
2.00489 2.00552
1.97474 1.97529
1.94496 1.94544
1.91555 1.91595
1.8865 1.88682
1.85781 1.85806
1.82947 1.82965
1.80149 1.80159
1.77385 1.77388
1.74656 1.74651
1.7196 1.71949
1.69299 1.69281
1.66671 1.66647
1.64076 1.64047
1.61515 1.6148
1.58986 1.58946
1.5649 1.56446
1.54027 1.53978
1.51596 1.51543
1.49196 1.4914
1.46826 1.46768
1.44488 1.44427
1.42179 1.42116
1.399 1.39836
1.3765 1.37585
1.3543 1.35364
1.33239 1.33173
1.31077 1.31011
1.28944 1.28879
1.26839 1.26776
1.24762 1.24701
1.22714 1.22655
1.20693 1.20637
1.18701 1.18648
1.16734 1.16685
1.14795 1.14749
1.12882 1.1284
1.10994 1.10958
1.09133 1.09101
1.07297 1.0727
1.05486 1.05464
1.037 1.03683
1.0194 1.01929
1.00206 1.00199
0.98496 0.984941
0.968109 0.968137
0.951506 0.951581
0.935143 0.935263
0.919011 0.919173
0.903105 0.903307
0.887422 0.887659
0.87196 0.872229
0.85672 0.857016
0.841697 0.842021
0.826887 0.827235
0.812295 0.81266
0.797916 0.798292
0.783747 0.784129
0.769788 0.770169
0.756037 0.756412
0.742495 0.742861
0.729154 0.729506
0.71601 0.716342
0.703059 0.703368
0.690302 0.690583
0.677735 0.677985
0.665358 0.665575
0.65317 0.653351
0.641167 0.641311
0.629349 0.629454
0.617713 0.617778
0.606258 0.606283
0.594982 0.594969
0.583887 0.58383
0.572968 0.57287
0.562224 0.562091
0.551653 0.55149
0.541255 0.541066
0.531029 0.530818
0.520974 0.520743
0.511088 0.510842
0.50137 0.501116
0.491817 0.491562
0.48243 0.48218
0.473208 0.472968
0.464139 0.463913
0.455234 0.455028
0.446499 0.446315
0.43793 0.437773
0.429525 0.429398
0.421281 0.421186
0.413179 0.413119
0.405242 0.405217
0.397467 0.397476
0.389848 0.38989
0.38238 0.382454
0.375055 0.37516
0.36787 0.368005
0.360825 0.360983
0.353913 0.354089
0.347128 0.347317
0.340456 0.340655
0.333894 0.3341
0.327451 0.327655
0.321118 0.321311
0.314884 0.31506
0.308743 0.308896
0.302685 0.302811
0.296698 0.296792
0.290773 0.290833
0.284903 0.284928
0.279086 0.279071
0.273301 0.27325
0.267539 0.267457
0.261794 0.261685
0.256066 0.255933
0.250338 0.250187
0.2446 0.24444
0.238847 0.238686
0.233083 0.232926
0.227295 0.227149
0.221475 0.221346
0.215622 0.215515
0.20974 0.209661
0.203822 0.203771
0.197865 0.197843
0.191874 0.191879
0.185849 0.18588
0.179791 0.179844
0.173702 0.173771
0.167588 0.16767
0.161445 0.161535
0.15528 0.155371
0.149096 0.149184
0.142897 0.142978
0.136688 0.136758
0.130477 0.130533
0.124264 0.124304
0.118055 0.118081
0.111862 0.111874
0.105686 0.105686
0.0995408 0.0995318
0.0934346 0.0934182
0.0873786 0.0873567
0.0813895 0.0813638
0.0754765 0.0754483
0.06966 0.0696304
0.0639525 0.0639228
0.0583737 0.0583455
0.0529455 0.0529195
0.0476898 0.0476662
0.0426302 0.0426101
0.0377893 0.0377742
0.0331936 0.0331847
0.0288642 0.0288633
0.0248319 0.0248358
0.0211123 0.0211171
0.0177272 0.0177291
0.0146788 0.0146756
0.0119694 0.0119665
0.00959736 0.00959862
0.00755256 0.00756055
0.0058283 0.00583835
0.00440076 0.00440834
0.00324162 0.00324346
0.00231469 0.00231335
0.00158843 0.00158598
0.00103413 0.00103201
0.000624801 0.000624107
0.000338637 0.000338925
0.000156204 0.000156251
5.51835e-05 5.50742e-05
1.13811e-05 1.1392e-05
