#x cv
0.0133444 0.0133402
0.0105281 0.0105318
0.00814193 0.00814798
0.00616472 0.006164
0.00454421 0.00454336
0.00323873 0.00323942
0.00220998 0.00221037
0.00141619 0.0014153
0.000826408 0.000826558
0.00042053 0.000420859
0.000171242 0.00017116
4.43548e-05 4.43758e-05
2.38668 2.38664
2.35644 2.3564
2.32649 2.32646
2.29684 2.29682
2.26748 2.26747
2.23841 2.2384
2.20963 2.20963
2.18114 2.18115
2.15291 2.15292
2.12498 2.125
2.09734 2.09736
2.07 2.07003
2.04295 2.04298
2.01619 2.01622
1.98971 1.98974
1.96353 1.96356
1.93763 1.93767
1.912 1.91204
1.88663 1.88667
1.86152 1.86156
1.83667 1.83671
1.81208 1.81211
1.78775 1.78778
1.76366 1.76369
1.73982 1.73985
1.71625 1.71628
1.69293 1.69296
1.66987 1.66989
1.64706 1.64708
1.6245 1.62452
1.60219 1.60221
1.58012 1.58014
1.5583 1.55831
1.53672 1.53673
1.51537 1.51538
1.49426 1.49427
1.47339 1.4734
1.45275 1.45275
1.43233 1.43234
1.41215 1.41215
1.3922 1.3922
1.37247 1.37247
1.35297 1.35298
1.3337 1.3337
1.31465 1.31465
1.29582 1.29583
1.27721 1.27721
1.25882 1.25882
1.24063 1.24063
1.22265 1.22265
1.20488 1.20487
1.18731 1.1873
1.16995 1.16994
1.15279 1.15278
1.13584 1.13582
1.11908 1.11906
1.10253 1.1025
1.08617 1.08615
1.07001 1.06998
1.05404 1.05401
1.03826 1.03824
1.02268 1.02266
1.0073 1.00727
0.992098 0.992071
0.977089 0.977065
0.962269 0.962246
0.947636 0.947616
0.933187 0.933172
0.918918 0.918907
0.904829 0.90482
0.890918 0.890911
0.877182 0.877178
0.863622 0.86362
0.850233 0.850231
0.837012 0.83701
0.823965 0.823963
0.811086 0.811086
0.798374 0.798376
0.785827 0.785831
0.773444 0.773451
0.761227 0.761239
0.749169 0.749185
0.73727 0.73729
0.725526 0.72555
0.713937 0.713963
0.702502 0.702528
0.69122 0.691246
0.680088 0.680113
0.669106 0.669128
0.658271 0.658291
0.647581 0.647599
0.637035 0.63705
0.62663 0.626644
0.616369 0.61638
0.60625 0.60626
0.596268 0.596276
0.586422 0.586427
0.576709 0.576712
0.567131 0.56713
0.557685 0.557681
0.548378 0.548368
0.5392 0.539186
0.530149 0.530132
0.521225 0.521205
0.512428 0.512407
0.503758 0.503738
0.495215 0.495196
0.486799 0.486782
0.478511 0.478496
0.47035 0.470337
0.462317 0.462306
0.454411 0.454403
0.446622 0.446618
0.438962 0.438962
0.431437 0.43144
0.424047 0.42405
0.416788 0.41679
0.409659 0.40966
0.402643 0.40264
0.395761 0.395755
0.389012 0.389003
0.38239 0.382379
0.375893 0.37588
0.369509 0.369493
0.363239 0.363221
0.357088 0.35707
0.351048 0.351034
0.345113 0.345105
0.339272 0.339271
0.33352 0.333529
0.327866 0.327884
0.322304 0.322328
0.316822 0.316851
0.311412 0.311446
0.306066 0.306103
0.300775 0.300812
0.295529 0.295563
0.29032 0.290349
0.285144 0.285165
0.279982 0.279994
0.274825 0.274828
0.269666 0.26966
0.264506 0.264489
0.259323 0.259297
0.254106 0.254073
0.248849 0.248811
0.243556 0.243513
0.238212 0.238167
0.232807 0.232764
0.227341 0.227303
0.221817 0.221788
0.216227 0.216205
0.210567 0.210554
0.204841 0.204837
0.199049 0.199054
0.193193 0.193204
0.187274 0.18729
0.181297 0.181317
0.175259 0.175281
0.169164 0.169186
0.163017 0.163038
0.156821 0.156839
0.150579 0.150594
0.144301 0.14431
0.137983 0.137989
0.131633 0.131636
0.125261 0.125262
0.118869 0.11887
0.112471 0.112474
0.106073 0.106077
0.099685 0.0996896
0.0933255 0.0933304
0.0870023 0.0870052
0.0807383 0.0807374
0.0745446 0.0745394
0.0684437 0.0684345
0.0624588 0.0624461
0.0566159 0.0565998
0.0509414 0.0509245
0.0454635 0.0454487
0.0402133 0.0402047
0.0352187 0.0352214
0.0305208 0.0305318
0.0261441 0.0261592
0.0221232 0.0221336
0.0184679 0.0184671
0.015186 0.0151791
0.0122822 0.0122754
0.00975121 0.00975072
0.00759505 0.0075984
0.00579285 0.00579632
0.00431628 0.00431616
0.00312282 0.0031229
0.0021765 0.00217701
0.00144387 0.00144382
0.000892573 0.000891953
0.000497291 0.000497274
0.000237718 0.00023772
8.80371e-05 8.79657e-05
1.93441e-05 1.935e-05
2.9714 2.97136
2.92991 2.92988
2.88889 2.88887
2.84835 2.84833
2.80826 2.80825
2.76863 2.76863
2.72945 2.72946
2.69073 2.69074
2.65245 2.65247
2.61462 2.61464
2.57722 2.57725
2.54027 2.54029
2.50374 2.50377
2.46764 2.46767
2.43196 2.43199
2.3967 2.39674
2.36186 2.3619
2.32743 2.32747
2.29341 2.29344
2.25979 2.25982
2.22656 2.2266
2.19373 2.19377
2.1613 2.16133
2.12925 2.12928
2.09759 2.09762
2.06631 2.06634
2.03541 2.03543
2.00489 2.00491
1.97474 1.97476
1.94496 1.94498
1.91555 1.91556
1.8865 1.88651
1.85781 1.85782
1.82947 1.82948
1.80149 1.80149
1.77385 1.77386
1.74656 1.74656
1.7196 1.71961
1.69299 1.69299
1.66671 1.66671
1.64076 1.64076
1.61515 1.61515
1.58986 1.58986
1.5649 1.5649
1.54027 1.54026
1.51596 1.51595
1.49196 1.49195
1.46826 1.46826
1.44488 1.44487
1.42179 1.42178
1.399 1.39899
1.3765 1.37649
1.3543 1.35428
1.33239 1.33237
1.31077 1.31075
1.28944 1.28941
1.26839 1.26836
1.24762 1.2476
1.22714 1.22711
1.20693 1.20691
1.18701 1.18698
1.16734 1.16732
1.14795 1.14792
1.12882 1.12879
1.10994 1.10992
1.09133 1.09131
1.07297 1.07295
1.05486 1.05484
1.037 1.03699
1.0194 1.0194
1.00206 1.00205
0.98496 0.984957
0.968109 0.968108
0.951506 0.951507
0.935143 0.935145
0.919011 0.919015
0.903105 0.903111
0.887422 0.88743
0.87196 0.871971
0.85672 0.856733
0.841697 0.841713
0.826887 0.826907
0.812295 0.812318
0.797916 0.797941
0.783747 0.783773
0.769788 0.769814
0.756037 0.756062
0.742495 0.742518
0.729154 0.729175
0.71601 0.716028
0.703059 0.703076
0.690302 0.690315
0.677735 0.677745
0.665358 0.665366
0.65317 0.653175
0.641167 0.64117
0.629349 0.629349
0.617713 0.61771
0.606258 0.606252
0.594982 0.594974
0.583887 0.583874
0.572968 0.572951
0.562224 0.562205
0.551653 0.551633
0.541255 0.541235
0.531029 0.531009
0.520974 0.520956
0.511088 0.511072
0.50137 0.501356
0.491817 0.491806
0.48243 0.482421
0.473208 0.473201
0.464139 0.464135
0.455234 0.455233
0.446499 0.446498
0.43793 0.43793
0.429525 0.429524
0.421281 0.421279
0.413179 0.413173
0.405242 0.405233
0.397467 0.397456
0.389848 0.389836
0.38238 0.382369
0.375055 0.375044
0.36787 0.367859
0.360825 0.360816
0.353913 0.353908
0.347128 0.347128
0.340456 0.340463
0.333894 0.33391
0.327451 0.327473
0.321118 0.321144
0.314884 0.314914
0.308743 0.308775
0.302685 0.302717
0.296698 0.296728
0.290773 0.290799
0.284903 0.284923
0.279086 0.279097
0.273301 0.273303
0.267539 0.267532
0.261794 0.261778
0.256066 0.256042
0.250338 0.250306
0.2446 0.244563
0.238847 0.238807
0.233083 0.233042
0.227295 0.227254
0.221475 0.221437
0.215622 0.21559
0.20974 0.209716
0.203822 0.203806
0.197865 0.197857
0.191874 0.191874
0.185849 0.185857
0.179791 0.179804
0.173702 0.17372
0.167588 0.167609
0.161445 0.161468
0.15528 0.155302
0.149096 0.149117
0.142897 0.142916
0.136688 0.136703
0.130477 0.130488
0.124264 0.12427
0.118055 0.118059
0.111862 0.111864
0.105686 0.105687
0.0995408 0.0995418
0.0934346 0.0934357
0.0873786 0.0873791
0.0813895 0.0813892
0.0754765 0.0754741
0.06966 0.0696547
0.0639525 0.0639442
0.0583737 0.0583629
0.0529455 0.0529329
0.0476898 0.0476759
0.0426302 0.0426171
0.0377893 0.0377796
0.0331936 0.0331896
0.0288642 0.0288685
0.0248319 0.0248413
0.0211123 0.0211226
0.0177272 0.0177333
0.0146788 0.0146773
0.0119694 0.0119648
0.00959736 0.00959361
0.00755256 0.00755318
0.0058283 0.00583094
0.00440076 0.00440303
0.00324162 0.00324177
0.00231469 0.00231489
0.00158843 0.0015887
0.00103413 0.00103394
0.000624801 0.00062434
0.000338637 0.000338544
0.000156204 0.000156149
5.51835e-05 5.51259e-05
1.13811e-05 1.13819e-05
