#q2 x cv sd
22.5211 0.197242 0.235185 0.014884
22.5211 0.204174 0.230725 0.0137494
22.5211 0.211349 0.226103 0.014277
22.5211 0.218776 0.22132 0.0126778
22.5211 0.226464 0.216379 0.0139457
22.5211 0.234423 0.211275 0.012886
22.5211 0.242661 0.206011 0.0115858
22.5211 0.251189 0.200587 0.010295
22.5211 0.260016 0.195008 0.010063
22.5211 0.269153 0.189277 0.0126343
22.5211 0.278612 0.183397 0.0108431
22.5211 0.288403 0.177367 0.0115789
22.5211 0.298538 0.171189 0.0093622
22.5211 0.30903 0.164872 0.0098053
22.5211 0.31989 0.158412 0.0106892
22.5211 0.331131 0.15182 0.00978539
22.5211 0.342768 0.145101 0.00892625
22.5211 0.354813 0.13826 0.00733751
22.5211 0.367282 0.131314 0.00680715
22.5211 0.380189 0.124271 0.00761782
22.5211 0.39355 0.117153 0.00624001
22.5211 0.40738 0.109965 0.00662028
22.5211 0.421697 0.102724 0.00534593
22.5211 0.436516 0.0954566 0.00661628
22.5211 0.451856 0.0881861 0.00543635
22.5211 0.467735 0.0809499 0.0053784
22.5211 0.484172 0.0737809 0.00494817
22.5211 0.501187 0.0667236 0.00435077
22.5211 0.5188 0.0598086 0.00334836
22.5211 0.537032 0.0530984 0.00296365
22.5211 0.555904 0.0466463 0.0027819
22.5211 0.57544 0.0405324 0.00266118
22.5211 0.595662 0.0348159 0.00216848
22.5211 0.616595 0.0295235 0.00183024
22.5211 0.638263 0.0246797 0.00167865
22.5211 0.660693 0.0202934 0.00121094
22.5211 0.683912 0.0164067 0.0010696
22.5211 0.707946 0.0130345 0.000911259
22.5211 0.732825 0.0101763 0.000515303
22.5211 0.758578 0.00778427 0.000480517
22.5211 0.785236 0.00580549 0.000294859
22.5211 0.812831 0.00420032 0.00029015
22.5211 0.841395 0.0029159 0.000171085
22.5211 0.870964 0.00190979 0.000106912
22.5211 0.901571 0.00114253 6.5042e-05
22.5211 0.933254 0.000602693 3.37985e-05
22.5211 0.966051 0.000257271 1.3344e-05
144.914 0.001 1.75428 0.0954081
144.91 0.00103514 1.73482 0.0995744
144.91 0.00107152 1.71554 0.119777
144.91 0.00110917 1.69646 0.118488
144.91 0.00114815 1.67756 0.0888181
144.914 0.0011885 1.65885 0.0861292
144.91 0.00123027 1.64031 0.0917683
144.914 0.0012735 1.62194 0.102097
144.91 0.00131826 1.60381 0.0871633
144.91 0.00136458 1.58582 0.0878882
144.91 0.00141254 1.56797 0.0837299
144.91 0.00146218 1.55026 0.0791165
144.91 0.00151356 1.53268 0.0988349
144.91 0.00156675 1.51524 0.0920139
144.91 0.00162181 1.49794 0.0841497
144.914 0.0016788 1.48077 0.0856746
144.914 0.0017378 1.46373 0.0859401
144.91 0.00179887 1.44684 0.0931037
144.91 0.00186209 1.4301 0.100044
144.91 0.00192752 1.41351 0.0920314
144.91 0.00199526 1.39707 0.0869403
144.91 0.00206538 1.38078 0.0850088
144.91 0.00213796 1.36463 0.0836501
144.91 0.00221309 1.34864 0.0700674
144.91 0.00229087 1.33279 0.0748998
144.91 0.00237137 1.31708 0.0678299
144.91 0.00245471 1.30151 0.0791705
144.91 0.00254097 1.28608 0.0846122
144.91 0.00263027 1.27079 0.0814317
144.914 0.0027227 1.25564 0.0674239
144.91 0.00281838 1.24061 0.0744613
144.91 0.00291743 1.22573 0.0822249
144.91 0.00301995 1.21099 0.0757037
144.91 0.00312608 1.19639 0.0603917
144.91 0.00323594 1.18192 0.0705085
144.91 0.00334965 1.1676 0.0671773
144.91 0.00346737 1.15341 0.0581146
144.91 0.00358922 1.13936 0.0765646
144.91 0.00371535 1.12545 0.0752666
144.91 0.00384592 1.11167 0.0556927
144.91 0.00398107 1.09802 0.0580853
144.91 0.00412098 1.0845 0.0599211
144.914 0.0042658 1.07112 0.0660608
144.914 0.0044157 1.05786 0.0659085
144.91 0.00457088 1.04473 0.0586487
144.91 0.00473151 1.03173 0.0615313
144.91 0.00489779 1.01885 0.0691769
144.91 0.00506991 1.00611 0.0679034
144.91 0.00524807 0.993487 0.0549059
144.914 0.0054325 0.980993 0.060701
